기준일,기준일,5일,15일,25일
2023.08,전회대비(%),1.6,1.3,1.3
2023.09,금회가격(A),"49,851","50,137","50,202"
2023.09,전회가격(B),"49,245","49,851","50,137"
2023.09,가격차이(A-B),606,286,65
2023.09,전회대비(%),1.2,0.6,0.1
2023.10,금회가격(A),"54,388","52,387","51,142"
2023.10,전회가격(B),"50,202","54,388","52,387"
2023.10,가격차이(A-B),"4,186","-2,001","-1,245"
2023.10,전회대비(%),8.3,-3.7,-2.4
2023.11,금회가격(A),"50,346","49,820","49,655"
2023.11,전회가격(B),"51,142","50,346","49,820"
2023.11,가격차이(A-B),-796,-526,-165
2023.11,전회대비(%),-1.6,-1.0,-0.3
2023.12,금회가격(A),"49,617","49,530","49,408"
2023.12,전회가격(B),"49,655","49,617","49,530"
2023.12,가격차이(A-B),-38,-87,-122
2023.12,전회대비(%),-0.1,-0.2,-0.2
2024.01,금회가격(A),"49,164","48,958","48,699"
2024.01,전회가격(B),"49,408","49,164","48,958"
2024.01,가격차이(A-B),-244,-206,-259
2024.01,전회대비(%),-0.5,-0.4,-0.5
2024.02,금회가격(A),"48,378","48,375","48,417"
2024.02,전회가격(B),"48,699","48,378","48,375"
2024.02,가격차이(A-B),-321,-3,42
2024.02,전회대비(%),-0.7,0.0,0.1
2024.03,금회가격(A),"48,317","48,338","48,192"
2024.03,전회가격(B),"48,417","48,317","48,338"
2024.03,가격차이(A-B),-100,21,-146
2024.03,전회대비(%),-0.2,0.0,-0.3
2024.04,금회가격(A),"47,926","47,868","47,608"
2024.04,전회가격(B),"48,192","47,926","47,868"
2024.04,가격차이(A-B),-266,-58,-260
2024.04,전회대비(%),-0.6,-0.1,-0.5
2024.05,금회가격(A),"47,500","47,372","47,179"
2024.05,전회가격(B),"47,608","47,500","47,372"
2024.05,가격차이(A-B),-108,-128,-193
2024.05,전회대비(%),-0.2,-0.3,-0.4
2024.06,금회가격(A),"46,968","46,794","46,594"
2024.06,전회가격(B),"47,179","46,968","46,794"
2024.06,가격차이(A-B),-211,-174,-200
2024.06,전회대비(%),-0.4,-0.4,-0.4
2024.07,금회가격(A),"45,990","45,287","44,879"
2024.07,전회가격(B),"46,594","45,990","45,287"
2024.07,가격차이(A-B),-604,-703,-408
2024.07,전회대비(%),-1.3,-1.5,-0.9
2024.08,금회가격(A),"44,619","44,435","44,157"
2024.08,전회가격(B),"44,879","44,619","44,435"
2024.08,가격차이(A-B),-260,-184,-278
2024.08,전회대비(%),-0.6,-0.4,-0.6
2024.09,금회가격(A),"43,842","43,726","43,648"
2024.09,전회가격(B),"44,157","43,842","43,726"
2024.09,가격차이(A-B),-315,-116,-78
2024.09,전회대비(%),-0.7,-0.3,-0.2
2024.10,금회가격(A),"47,039","46,212","45,725"
